k,silhouette,davies_bouldin,calinski_harabasz,stability_mean,stability_std
2,0.05294375196617105,4.190781686703972,5085.669874901865,0.9788977200000132,0.004614325422675825
3,0.07251752460413884,3.355965219255134,4582.944174054612,0.9829179614795883,0.0038331387789761573
4,0.048207547734637736,3.4638028200628623,4288.67180753892,0.9721892241249588,0.008707656468016588
5,0.04538964714900762,3.4650008587784122,3948.5730517933703,0.9819534543370491,0.002616385212109904
6,0.047078339904561055,3.3261150483043607,3649.988401226664,0.6643106851967345,0.2217701755888012
7,0.043095864545584124,3.3280008417613196,3408.576227680829,0.9642094020397106,0.004065866762680369
8,0.04595292189000208,3.2127530271396623,3226.127204868336,0.9686414773661718,0.006071576118547252
9,0.04327831382685046,3.3124134399266985,2994.0978735930544,0.7176006466724573,0.15541270445256575
10,0.04435393739583042,3.2404200112298076,2840.39250245805,0.9338549376036575,0.008252503370208367
11,0.045919702754854054,3.1350088740797704,2685.9887240904477,0.5163522854566841,0.006225877064386981
12,0.04505385891223523,3.187881222772185,2560.296612956862,0.932167115870659,0.016604229960023188
